2020-08-06 22:38:28 status unpacked gcc-8-base:arm64 8-20180414-1ubuntu2
2020-08-06 22:38:28 status unpacked gcc-8-base:arm64 8-20180414-1ubuntu2
2020-08-06 22:38:28 install grep:arm64 <none> 3.1-2
2020-08-06 22:38:28 status half-installed grep:arm64 3.1-2
2020-08-06 22:38:28 status unpacked grep:arm64 3.1-2
2020-08-06 22:38:28 status unpacked grep:arm64 3.1-2
2020-08-06 22:38:28 install gzip:arm64 <none> 1.6-5ubuntu1
2020-08-06 22:38:28 status half-installed gzip:arm64 1.6-5ubuntu1
2020-08-06 22:38:28 status unpacked gzip:arm64 1.6-5ubuntu1
2020-08-06 22:38:28 status unpacked gzip:arm64 1.6-5ubuntu1
2020-08-06 22:38:28 install hostname:arm64 <none> 3.20
2020-08-06 22:38:28 status half-installed hostname:arm64 3.20
2020-08-06 22:38:28 status unpacked hostname:arm64 3.20
2020-08-06 22:38:28 status unpacked hostname:arm64 3.20
2020-08-06 22:38:28 install init-system-helpers:all <none> 1.51
2020-08-06 22:38:28 status half-installed init-system-helpers:all 1.51
2020-08-06 22:38:28 status unpacked init-system-helpers:all 1.51
2020-08-06 22:38:28 status unpacked init-system-helpers:all 1.51
2020-08-06 22:38:28 install libacl1:arm64 <none> 2.2.52-3build1
2020-08-06 22:38:28 status half-installed libacl1:arm64 2.2.52-3build1
2020-08-06 22:38:28 status unpacked libacl1:arm64 2.2.52-3build1
2020-08-06 22:38:28 status unpacked libacl1:arm64 2.2.52-3build1
2020-08-06 22:38:28 install libattr1:arm64 <none> 1:2.4.47-2build1
2020-08-06 22:38:28 status half-installed libattr1:arm64 1:2.4.47-2build1
2020-08-06 22:38:28 status unpacked libattr1:arm64 1:2.4.47-2build1
2020-08-06 22:38:28 status unpacked libattr1:arm64 1:2.4.47-2build1
2020-08-06 22:38:29 install libaudit-common:all <none> 1:2.8.2-1ubuntu1
2020-08-06 22:38:29 status half-installed libaudit-common:all 1:2.8.2-1ubuntu1
2020-08-06 22:38:29 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2020-08-06 22:38:29 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2020-08-06 22:38:29 install libaudit1:arm64 <none> 1:2.8.2-1ubuntu1
2020-08-06 22:38:29 status half-installed libaudit1:arm64 1:2.8.2-1ubuntu1
2020-08-06 22:38:29 status unpacked libaudit1:arm64 1:2.8.2-1ubuntu1
2020-08-06 22:38:29 status unpacked libaudit1:arm64 1:2.8.2-1ubuntu1
2020-08-06 22:38:29 install libblkid1:arm64 <none> 2.31.1-0.4ubuntu3
2020-08-06 22:38:29 status half-installed libblkid1:arm64 2.31.1-0.4ubuntu3
2020-08-06 22:38:29 status unpacked libblkid1:arm64 2.31.1-0.4ubuntu3
2020-08-06 22:38:29 status unpacked libblkid1:arm64 2.31.1-0.4ubuntu3
2020-08-06 22:38:29 install libbz2-1.0:arm64 <none> 1.0.6-8.1
2020-08-06 22:38:29 status half-installed libbz2-1.0:arm64 1.0.6-8.1
2020-08-06 22:38:29 status unpacked libbz2-1.0:arm64 1.0.6-8.1
2020-08-06 22:38:29 status unpacked libbz2-1.0:arm64 1.0.6-8.1
2020-08-06 22:38:29 install libc-bin:arm64 <none> 2.27-3ubuntu1
2020-08-06 22:38:29 status half-installed libc-bin:arm64 2.27-3ubuntu1
2020-08-06 22:38:29 status unpacked libc-bin:arm64 2.27-3ubuntu1
2020-08-06 22:38:29 status unpacked libc-bin:arm64 2.27-3ubuntu1
2020-08-06 22:38:29 upgrade libc6:arm64 2.27-3ubuntu1 2.27-3ubuntu1
2020-08-06 22:38:29 status half-configured libc6:arm64 2.27-3ubuntu1
2020-08-06 22:38:29 status unpacked libc6:arm64 2.27-3ubuntu1
2020-08-06 22:38:30 status half-installed libc6:arm64 2.27-3ubuntu1
2020-08-06 22:38:32 status half-installed libc6:arm64 2.27-3ubuntu1
2020-08-06 22:38:32 status unpacked libc6:arm64 2.27-3ubuntu1
2020-08-06 22:38:32 status unpacked libc6:arm64 2.27-3ubuntu1
2020-08-06 22:38:32 install libcap-ng0:arm64 <none> 0.7.7-3.1
2020-08-06 22:38:32 status half-installed libcap-ng0:arm64 0.7.7-3.1
2020-08-06 22:38:32 status unpacked libcap-ng0:arm64 0.7.7-3.1
2020-08-06 22:38:32 status unpacked libcap-ng0:arm64 0.7.7-3.1
2020-08-06 22:38:32 install libcom-err2:arm64 <none> 1.44.1-1
2020-08-06 22:38:32 status half-installed libcom-err2:arm64 1.44.1-1
2020-08-06 22:38:32 status unpacked libcom-err2:arm64 1.44.1-1
2020-08-06 22:38:32 status unpacked libcom-err2:arm64 1.44.1-1
2020-08-06 22:38:32 install libdb5.3:arm64 <none> 5.3.28-13.1ubuntu1
2020-08-06 22:38:32 status half-installed libdb5.3:arm64 5.3.28-13.1ubuntu1
2020-08-06 22:38:32 status unpacked libdb5.3:arm64 5.3.28-13.1ubuntu1
2020-08-06 22:38:32 status unpacked libdb5.3:arm64 5.3.28-13.1ubuntu1
2020-08-06 22:38:32 install libdebconfclient0:arm64 <none> 0.213ubuntu1
2020-08-06 22:38:32 status half-installed libdebconfclient0:arm64 0.213ubuntu1
2020-08-06 22:38:32 status unpacked libdebconfclient0:arm64 0.213ubuntu1
2020-08-06 22:38:32 status unpacked libdebconfclient0:arm64 0.213ubuntu1
2020-08-06 22:38:32 install libext2fs2:arm64 <none> 1.44.1-1
2020-08-06 22:38:32 status half-installed libext2fs2:arm64 1.44.1-1
2020-08-06 22:38:32 status unpacked libext2fs2:arm64 1.44.1-1
2020-08-06 22:38:32 status unpacked libext2fs2:arm64 1.44.1-1
2020-08-06 22:38:32 install libfdisk1:arm64 <none> 2.31.1-0.4ubuntu3
2020-08-06 22:38:32 status half-installed libfdisk1:arm64 2.31.1-0.4ubuntu3
